gene,term
PLA2G5,Glycerophospholipid Metabolism
PLA2G6,Glycerophospholipid Metabolism
PLA2G7,Glycerophospholipid Metabolism
PLD1,Glycerophospholipid Metabolism
PLD2,Glycerophospholipid Metabolism
PTDSS1,Glycerophospholipid Metabolism
PTDSS2,Glycerophospholipid Metabolism
SLC18A3,Glycerophospholipid Metabolism
SLC22A1,Glycerophospholipid Metabolism
SLC22A2,Glycerophospholipid Metabolism
SLC22A3,Glycerophospholipid Metabolism
SLC5A7,Glycerophospholipid Metabolism
CBS,"Glycine, Serine and Threonine Metabolism"
AGXT,"Glycine, Serine and Threonine Metabolism"
AGXT2,"Glycine, Serine and Threonine Metabolism"
AGXT2L1,"Glycine, Serine and Threonine Metabolism"
AOC3,"Glycine, Serine and Threonine Metabolism"
BHMT,"Glycine, Serine and Threonine Metabolism"
BHMT2,"Glycine, Serine and Threonine Metabolism"
CHDH,"Glycine, Serine and Threonine Metabolism"
DAO,"Glycine, Serine and Threonine Metabolism"
DLD,"Glycine, Serine and Threonine Metabolism"
DMGDH,"Glycine, Serine and Threonine Metabolism"
GATM,"Glycine, Serine and Threonine Metabolism"
GCAT,"Glycine, Serine and Threonine Metabolism"
GCSH,"Glycine, Serine and Threonine Metabolism"
GLDC,"Glycine, Serine and Threonine Metabolism"
GNMT,"Glycine, Serine and Threonine Metabolism"
MAOA,"Glycine, Serine and Threonine Metabolism"
MAOB,"Glycine, Serine and Threonine Metabolism"
PHGDH,"Glycine, Serine and Threonine Metabolism"
PIPOX,"Glycine, Serine and Threonine Metabolism"
PSAT1,"Glycine, Serine and Threonine Metabolism"
PSPH,"Glycine, Serine and Threonine Metabolism"
SARDH,"Glycine, Serine and Threonine Metabolism"
SDS,"Glycine, Serine and Threonine Metabolism"
SHMT1,"Glycine, Serine and Threonine Metabolism"
SHMT2,"Glycine, Serine and Threonine Metabolism"
SLC1A4,"Glycine, Serine and Threonine Metabolism"
SLC1A5,"Glycine, Serine and Threonine Metabolism"
SLC32A1,"Glycine, Serine and Threonine Metabolism"
SLC36A1,"Glycine, Serine and Threonine Metabolism"
SLC38A1,"Glycine, Serine and Threonine Metabolism"
SLC38A2,"Glycine, Serine and Threonine Metabolism"
SLC38A4,"Glycine, Serine and Threonine Metabolism"
SLC38A5,"Glycine, Serine and Threonine Metabolism"
SLC3A1,"Glycine, Serine and Threonine Metabolism"
SLC6A12,"Glycine, Serine and Threonine Metabolism"
SLC6A14,"Glycine, Serine and Threonine Metabolism"
SLC6A5,"Glycine, Serine and Threonine Metabolism"
SLC6A9,"Glycine, Serine and Threonine Metabolism"
SLC7A10,"Glycine, Serine and Threonine Metabolism"
SLC7A8,"Glycine, Serine and Threonine Metabolism"
SLC7A9,"Glycine, Serine and Threonine Metabolism"
THNSL1,"Glycine, Serine and Threonine Metabolism"
AGL,Glycogen Degradation
GAA,Glycogen Degradation
GANC,Glycogen Degradation
PYGB,Glycogen Degradation
PYGL,Glycogen Degradation
PYGM,Glycogen Degradation
GBE1,Glycogen Synthesis
GYG1,Glycogen Synthesis
GYG2,Glycogen Synthesis
GYS1,Glycogen Synthesis
GYS2,Glycogen Synthesis
PFKFB1,Glycolysis and Gluconeogenesis
PFKFB2,Glycolysis and Gluconeogenesis
PFKFB3,Glycolysis and Gluconeogenesis
PFKFB4,Glycolysis and Gluconeogenesis
ACYP1,Glycolysis and Gluconeogenesis
ACYP2,Glycolysis and Gluconeogenesis
ALDOA,Glycolysis and Gluconeogenesis
ALDOB,Glycolysis and Gluconeogenesis
ALDOC,Glycolysis and Gluconeogenesis
BPGM,Glycolysis and Gluconeogenesis
ENO1,Glycolysis and Gluconeogenesis
ENO2,Glycolysis and Gluconeogenesis
ENO3,Glycolysis and Gluconeogenesis
FBP1,Glycolysis and Gluconeogenesis
FBP2,Glycolysis and Gluconeogenesis
G6PC,Glycolysis and Gluconeogenesis
G6PC2,Glycolysis and Gluconeogenesis
G6PC3,Glycolysis and Gluconeogenesis
GAPDH,Glycolysis and Gluconeogenesis
GAPDHS,Glycolysis and Gluconeogenesis
GCK,Glycolysis and Gluconeogenesis
GPD2,Glycolysis and Gluconeogenesis
GPI,Glycolysis and Gluconeogenesis
HK1,Glycolysis and Gluconeogenesis
HK2,Glycolysis and Gluconeogenesis
HK3,Glycolysis and Gluconeogenesis
HKDC1,Glycolysis and Gluconeogenesis
LDHA,Glycolysis and Gluconeogenesis
LDHAL6A,Glycolysis and Gluconeogenesis
LDHAL6B,Glycolysis and Gluconeogenesis
LDHB,Glycolysis and Gluconeogenesis
LDHC,Glycolysis and Gluconeogenesis
LDHD,Glycolysis and Gluconeogenesis
PCK1,Glycolysis and Gluconeogenesis
PCK2,Glycolysis and Gluconeogenesis
PFKL,Glycolysis and Gluconeogenesis
PFKM,Glycolysis and Gluconeogenesis
PFKP,Glycolysis and Gluconeogenesis
PGAM1,Glycolysis and Gluconeogenesis
PGAM2,Glycolysis and Gluconeogenesis
PGK1,Glycolysis and Gluconeogenesis
PGK2,Glycolysis and Gluconeogenesis
PGM1,Glycolysis and Gluconeogenesis
PGM2,Glycolysis and Gluconeogenesis
PKLR,Glycolysis and Gluconeogenesis
PKM2,Glycolysis and Gluconeogenesis
SLC16A1,Glycolysis and Gluconeogenesis
SLC16A3,Glycolysis and Gluconeogenesis
SLC16A7,Glycolysis and Gluconeogenesis
SLC16A8,Glycolysis and Gluconeogenesis
SLC25A11,Glycolysis and Gluconeogenesis
SLC2A1,Glycolysis and Gluconeogenesis
SLC2A10,Glycolysis and Gluconeogenesis
SLC2A11,Glycolysis and Gluconeogenesis
SLC2A12,Glycolysis and Gluconeogenesis
SLC2A14,Glycolysis and Gluconeogenesis
SLC2A2,Glycolysis and Gluconeogenesis
SLC2A3,Glycolysis and Gluconeogenesis
SLC2A4,Glycolysis and Gluconeogenesis
SLC2A6,Glycolysis and Gluconeogenesis
SLC2A7,Glycolysis and Gluconeogenesis
SLC2A8,Glycolysis and Gluconeogenesis
SLC2A9,Glycolysis and Gluconeogenesis
SLC5A1,Glycolysis and Gluconeogenesis
SLC5A11,Glycolysis and Gluconeogenesis
SLC5A12,Glycolysis and Gluconeogenesis
SLC5A2,Glycolysis and Gluconeogenesis
SLC5A3,Glycolysis and Gluconeogenesis
SLC5A8,Glycolysis and Gluconeogenesis
SLC5A9,Glycolysis and Gluconeogenesis
TPI1,Glycolysis and Gluconeogenesis
UEVLD,Glycolysis and Gluconeogenesis
DPM2,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
GPAA1,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PGAP1,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGA,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGB,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGC,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGF,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGG,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGH,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGK,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGL,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGM,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGN,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGO,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGP,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGQ,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGS,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGT,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGV,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGW,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGX,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
PIGZ,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
GRHPR,Glyoxylate and Dicarboxylate Metabolism
HAO1,Glyoxylate and Dicarboxylate Metabolism
HAO2,Glyoxylate and Dicarboxylate Metabolism
GLO1,Glyoxylate and Dicarboxylate Metabolism
HAGHL,Glyoxylate and Dicarboxylate Metabolism
GNS,Heparan sulfate degradation
GUSB,Heparan sulfate degradation
IDS,Heparan sulfate degradation
IDUA,Heparan sulfate degradation
NAGLU,Heparan sulfate degradation
SGSH,Heparan sulfate degradation
ALDH2,Histidine Metabolism
ALDH3A1,Histidine Metabolism
ALDH3B1,Histidine Metabolism
ALDH3B2,Histidine Metabolism
ABP1,Histidine Metabolism
AOC2,Histidine Metabolism
AOC3,Histidine Metabolism
CNDP1,Histidine Metabolism
DDC,Histidine Metabolism
FTCD,Histidine Metabolism
HAL,Histidine Metabolism
HDC,Histidine Metabolism
HNMT,Histidine Metabolism
MAOA,Histidine Metabolism
MAOB,Histidine Metabolism
SLC22A1,Histidine Metabolism
SLC22A2,Histidine Metabolism
SLC22A3,Histidine Metabolism
SLC38A3,Histidine Metabolism
SLC38A4,Histidine Metabolism
SLC3A1,Histidine Metabolism
SLC6A14,Histidine Metabolism
UROC1,Histidine Metabolism
DOT1L,Histone Methylation
MLL3,Histone Methylation
MLL4,Histone Methylation
SETD7,Histone Methylation
SETDB1,Histone Methylation
SETDB2,Histone Methylation
SUV39H1,Histone Methylation
SUV39H2,Histone Methylation
GUSB,Hyaluronan Metabolism
HAS1,Hyaluronan Metabolism
HAS2,Hyaluronan Metabolism
HAS3,Hyaluronan Metabolism
HEXA,Hyaluronan Metabolism
HEXB,Hyaluronan Metabolism
IMPA1,Inositol Phosphate Metabolism
IMPA2,Inositol Phosphate Metabolism
IPMK,Inositol Phosphate Metabolism
ISYNA1,Inositol Phosphate Metabolism
MIOX,Inositol Phosphate Metabolism
PI4K2A,Inositol Phosphate Metabolism
SLC2A13,Inositol Phosphate Metabolism
SLC5A11,Inositol Phosphate Metabolism
SLC5A3,Inositol Phosphate Metabolism
B3GNT2,Keratan sulfate biosynthesis
B3GNT3,Keratan sulfate biosynthesis
B3GNT4,Keratan sulfate biosynthesis
B3GNT6,Keratan sulfate biosynthesis
B3GNT7,Keratan sulfate biosynthesis
B3GNT8,Keratan sulfate biosynthesis
B3GNTL1,Keratan sulfate biosynthesis
B4GALT1,Keratan sulfate biosynthesis
B4GALT2,Keratan sulfate biosynthesis
B4GALT3,Keratan sulfate biosynthesis
B4GALT5,Keratan sulfate biosynthesis
CHST1,Keratan sulfate biosynthesis
CHST2,Keratan sulfate biosynthesis
CHST3,Keratan sulfate biosynthesis
CHST4,Keratan sulfate biosynthesis
CHST5,Keratan sulfate biosynthesis
CHST6,Keratan sulfate biosynthesis
ST3GAL1,Keratan sulfate biosynthesis
ST3GAL2,Keratan sulfate biosynthesis
ST3GAL3,Keratan sulfate biosynthesis
ST3GAL4,Keratan sulfate biosynthesis
AGA,Keratan sulfate degradation
FUCA1,Keratan sulfate degradation
FUCA2,Keratan sulfate degradation
GALNS,Keratan sulfate degradation
GLB1,Keratan sulfate degradation
GNS,Keratan sulfate degradation
HEXA,Keratan sulfate degradation
HEXB,Keratan sulfate degradation
NAGA,Keratan sulfate degradation
NEU1,Keratan sulfate degradation
ACAT1,Ketone Bodies Metabolism
ACAT2,Ketone Bodies Metabolism
BDH1,Ketone Bodies Metabolism
SLC16A1,Ketone Bodies Metabolism
SLC16A3,Ketone Bodies Metabolism
SLC16A8,Ketone Bodies Metabolism
SLC5A12,Ketone Bodies Metabolism
SLC5A8,Ketone Bodies Metabolism
HMGCL,Ketone Bodies Metabolism
HMGCLL1,Ketone Bodies Metabolism
AACS,Ketone Bodies Metabolism
ACSS1,Ketone Bodies Metabolism
ACSS2,Ketone Bodies Metabolism
ACOT12,Ketone Bodies Metabolism
OXCT1,Ketone Bodies Metabolism
OXCT2,Ketone Bodies Metabolism
ALDH2,Lysine Metabolism
ALDH7A1,Lysine Metabolism
AADAT,Lysine Metabolism
AASS,Lysine Metabolism
BBOX1,Lysine Metabolism
PIPOX,Lysine Metabolism
SLC25A21,Lysine Metabolism
SLC38A4,Lysine Metabolism
SLC3A1,Lysine Metabolism
SLC6A14,Lysine Metabolism
SLC7A1,Lysine Metabolism
SLC7A2,Lysine Metabolism
SLC7A3,Lysine Metabolism
SPCS1,Lysine Metabolism
SPCS2,Lysine Metabolism
SPCS3,Lysine Metabolism
TMLHE,Lysine Metabolism
GCDH,Lysine Metabolism
AHCY,Methionine Metabolism
AHCYL1,Methionine Metabolism
AHCYL2,Methionine Metabolism
ACY1,Methionine Metabolism
AMD1,Methionine Metabolism
GNMT,Methionine Metabolism
DNMT1,Methionine Metabolism
DNMT3A,Methionine Metabolism
DNMT3B,Methionine Metabolism
DNMT3L,Methionine Metabolism
BHMT,Methionine Metabolism
BHMT2,Methionine Metabolism
MAT1A,Methionine Metabolism
MAT2A,Methionine Metabolism
MAT2B,Methionine Metabolism
MTAP,Methionine Metabolism
MTR,Methionine Metabolism
SLC25A26,Methionine Metabolism
SLC3A1,Methionine Metabolism
SLC43A2,Methionine Metabolism
SLC6A14,Methionine Metabolism
SLC7A8,Methionine Metabolism
SUOX,Methionine Metabolism
ABCB4,Multidrug resistance
ABCC1,Multidrug resistance
ABCC3,Multidrug resistance
ABCC4,Multidrug resistance
ALG1,N-Glycan Biosynthesis
ALG10,N-Glycan Biosynthesis
ALG12,N-Glycan Biosynthesis
ALG2,N-Glycan Biosynthesis
ALG3,N-Glycan Biosynthesis
ALG5,N-Glycan Biosynthesis
ALG6,N-Glycan Biosynthesis
ALG8,N-Glycan Biosynthesis
B4GALT1,N-Glycan Biosynthesis
B4GALT2,N-Glycan Biosynthesis
B4GALT3,N-Glycan Biosynthesis
B4GALT5,N-Glycan Biosynthesis
DAD1,N-Glycan Biosynthesis
DDOST,N-Glycan Biosynthesis
DOLPP1,N-Glycan Biosynthesis
DPAGT1,N-Glycan Biosynthesis
DPM1,N-Glycan Biosynthesis
DPM2,N-Glycan Biosynthesis
DPM3,N-Glycan Biosynthesis
FUT8,N-Glycan Biosynthesis
MAN1A1,N-Glycan Biosynthesis
MAN1A2,N-Glycan Biosynthesis
MAN1B1,N-Glycan Biosynthesis
MAN1C1,N-Glycan Biosynthesis
MAN2A1,N-Glycan Biosynthesis
MAN2A2,N-Glycan Biosynthesis
MGAT1,N-Glycan Biosynthesis
MGAT2,N-Glycan Biosynthesis
MGAT3,N-Glycan Biosynthesis
MGAT4A,N-Glycan Biosynthesis
MGAT4B,N-Glycan Biosynthesis
MGAT5,N-Glycan Biosynthesis
MOGS,N-Glycan Biosynthesis
RPN1,N-Glycan Biosynthesis
RPN2,N-Glycan Biosynthesis
ST6GAL1,N-Glycan Biosynthesis
TUSC3,N-Glycan Biosynthesis
UGDH,N-Glycan Biosynthesis
AGA,N-Glycan Degradation
ENGASE,N-Glycan Degradation
FUCA1,N-Glycan Degradation
FUCA2,N-Glycan Degradation
GALNS,N-Glycan Degradation
GLB1,N-Glycan Degradation
HEXA,N-Glycan Degradation
HEXB,N-Glycan Degradation
MAN2B1,N-Glycan Degradation
MAN2C1,N-Glycan Degradation
MANBA,N-Glycan Degradation
NEU1,N-Glycan Degradation
NEU2,N-Glycan Degradation
NEU4,N-Glycan Degradation
CD38,NAD Metabolism
NADK,NAD Metabolism
NADSYN1,NAD Metabolism
NMNAT1,NAD Metabolism
NMNAT2,NAD Metabolism
NMNAT3,NAD Metabolism
NNMT,NAD Metabolism
NNT,NAD Metabolism
QPRT,NAD Metabolism
ABCC4,Nucleotide Metabolism
BPNT1,Nucleotide Metabolism
CANT1,Nucleotide Metabolism
DCK,Nucleotide Metabolism
DGUOK,Nucleotide Metabolism
ENTPD1,Nucleotide Metabolism
ENTPD2,Nucleotide Metabolism
ENTPD3,Nucleotide Metabolism
ENTPD4,Nucleotide Metabolism
ENTPD5,Nucleotide Metabolism
ENTPD6,Nucleotide Metabolism
NME1,Nucleotide Metabolism
NME2,Nucleotide Metabolism
NME3,Nucleotide Metabolism
NME4,Nucleotide Metabolism
NME6,Nucleotide Metabolism
NME7,Nucleotide Metabolism
NUDT2,Nucleotide Metabolism
NUDT5,Nucleotide Metabolism
NUDT9,Nucleotide Metabolism
PAPSS1,Nucleotide Metabolism
PAPSS2,Nucleotide Metabolism
SLC29A1,Nucleotide Metabolism
ENPP1,Nucleotide Metabolism
ENPP2,Nucleotide Metabolism
ENPP3,Nucleotide Metabolism
A4GNT,O-Glycan Biosynthesis
B3GNT6,O-Glycan Biosynthesis
C1GALT1,O-Glycan Biosynthesis
GALNT1,O-Glycan Biosynthesis
GALNT10,O-Glycan Biosynthesis
GALNT11,O-Glycan Biosynthesis
GALNT12,O-Glycan Biosynthesis
GALNT13,O-Glycan Biosynthesis
GALNT14,O-Glycan Biosynthesis
GALNT2,O-Glycan Biosynthesis
GALNT3,O-Glycan Biosynthesis
GALNT4,O-Glycan Biosynthesis
GALNT5,O-Glycan Biosynthesis
GALNT6,O-Glycan Biosynthesis
GALNT7,O-Glycan Biosynthesis
GALNT8,O-Glycan Biosynthesis
GALNT9,O-Glycan Biosynthesis
GALNTL2,O-Glycan Biosynthesis
GCNT1,O-Glycan Biosynthesis
GCNT3,O-Glycan Biosynthesis
GCNT4,O-Glycan Biosynthesis
ST3GAL1,O-Glycan Biosynthesis
ST6GALNAC1,O-Glycan Biosynthesis
UGDH,O-Glycan Biosynthesis
ATP5A1,Oxidative Phosphorylation
ATP5B,Oxidative Phosphorylation
ATP5C1,Oxidative Phosphorylation
ATP5D,Oxidative Phosphorylation
ATP5E,Oxidative Phosphorylation
ATP5F1,Oxidative Phosphorylation
ATP5G1,Oxidative Phosphorylation
ATP5G2,Oxidative Phosphorylation
ATP5G3,Oxidative Phosphorylation
ATP5H,Oxidative Phosphorylation
ATP5I,Oxidative Phosphorylation
ATP5J,Oxidative Phosphorylation
ATP5J2,Oxidative Phosphorylation
ATP5L,Oxidative Phosphorylation
COX4I1,Oxidative Phosphorylation
COX4I2,Oxidative Phosphorylation
COX5A,Oxidative Phosphorylation
COX5B,Oxidative Phosphorylation
COX6A1,Oxidative Phosphorylation
COX6A2,Oxidative Phosphorylation
COX6B1,Oxidative Phosphorylation
COX6B2,Oxidative Phosphorylation
COX6C,Oxidative Phosphorylation
COX7A1,Oxidative Phosphorylation
COX7A2,Oxidative Phosphorylation
COX7A2L,Oxidative Phosphorylation
COX7B,Oxidative Phosphorylation
COX7B2,Oxidative Phosphorylation
COX7C,Oxidative Phosphorylation
COX8A,Oxidative Phosphorylation
COX8C,Oxidative Phosphorylation
CYC1,Oxidative Phosphorylation
NDUFA1,Oxidative Phosphorylation
NDUFA10,Oxidative Phosphorylation
NDUFA11,Oxidative Phosphorylation
NDUFA12,Oxidative Phosphorylation
NDUFA13,Oxidative Phosphorylation
NDUFA2,Oxidative Phosphorylation
NDUFA3,Oxidative Phosphorylation
NDUFA4,Oxidative Phosphorylation
NDUFA5,Oxidative Phosphorylation
NDUFA6,Oxidative Phosphorylation
NDUFA7,Oxidative Phosphorylation
NDUFA8,Oxidative Phosphorylation
NDUFA9,Oxidative Phosphorylation
NDUFAB1,Oxidative Phosphorylation
NDUFB1,Oxidative Phosphorylation
NDUFB10,Oxidative Phosphorylation
NDUFB2,Oxidative Phosphorylation
NDUFB3,Oxidative Phosphorylation
NDUFB4,Oxidative Phosphorylation
NDUFB5,Oxidative Phosphorylation
NDUFB6,Oxidative Phosphorylation
NDUFB7,Oxidative Phosphorylation
NDUFB8,Oxidative Phosphorylation
NDUFB9,Oxidative Phosphorylation
NDUFC1,Oxidative Phosphorylation
NDUFC2,Oxidative Phosphorylation
NDUFS1,Oxidative Phosphorylation
NDUFS2,Oxidative Phosphorylation
NDUFS3,Oxidative Phosphorylation
NDUFS4,Oxidative Phosphorylation
NDUFS5,Oxidative Phosphorylation
NDUFS6,Oxidative Phosphorylation
NDUFS7,Oxidative Phosphorylation
NDUFS8,Oxidative Phosphorylation
NDUFV1,Oxidative Phosphorylation
NDUFV2,Oxidative Phosphorylation
NDUFV3,Oxidative Phosphorylation
SLC25A4,Oxidative Phosphorylation
SLC25A5,Oxidative Phosphorylation
SLC25A6,Oxidative Phosphorylation
UCP1,Oxidative Phosphorylation
UCP2,Oxidative Phosphorylation
UCP3,Oxidative Phosphorylation
UQCR10,Oxidative Phosphorylation
UQCRB,Oxidative Phosphorylation
UQCRC1,Oxidative Phosphorylation
UQCRC2,Oxidative Phosphorylation
UQCRFS1,Oxidative Phosphorylation
UQCRH,Oxidative Phosphorylation
UQCRQ,Oxidative Phosphorylation
FBP1,Pentose Phosphate Pathway
FBP2,Pentose Phosphate Pathway
PGM2,Pentose Phosphate Pathway
DCXR,Pentose Phosphate Pathway
XYLB,Pentose Phosphate Pathway
G6PD,Pentose Phosphate Pathway
H6PD,Pentose Phosphate Pathway
PGD,Pentose Phosphate Pathway
PGLS,Pentose Phosphate Pathway
PRPS1,Pentose Phosphate Pathway
PRPS1L1,Pentose Phosphate Pathway
PRPS2,Pentose Phosphate Pathway
RBKS,Pentose Phosphate Pathway
RPE,Pentose Phosphate Pathway
RPIA,Pentose Phosphate Pathway
TALDO1,Pentose Phosphate Pathway
TKT,Pentose Phosphate Pathway
TKTL1,Pentose Phosphate Pathway
TKTL2,Pentose Phosphate Pathway
ALDH3A1,Phenylalanine metabolism
ALDH3B1,Phenylalanine metabolism
ALDH3B2,Phenylalanine metabolism
ABP1,Phenylalanine metabolism
AOC2,Phenylalanine metabolism
DDC,Phenylalanine metabolism
GOT1,Phenylalanine metabolism
GOT2,Phenylalanine metabolism
HPD,Phenylalanine metabolism
MAOA,Phenylalanine metabolism
MAOB,Phenylalanine metabolism
PAH,Phenylalanine metabolism
SLC16A10,Phenylalanine metabolism
SLC38A1,Phenylalanine metabolism
SLC38A2,Phenylalanine metabolism
SLC38A4,Phenylalanine metabolism
SLC43A1,Phenylalanine metabolism
SLC43A2,Phenylalanine metabolism
SLC6A14,Phenylalanine metabolism
SLC7A2,Phenylalanine metabolism
SLC7A3,Phenylalanine metabolism
SLC7A5,Phenylalanine metabolism
SLC7A8,Phenylalanine metabolism
TAT,Phenylalanine metabolism
PPA1,Phosphate Metabolism
PPA2,Phosphate Metabolism
HCST,Phosphoinositide Signalling
INPP1,Phosphoinositide Signalling
INPP4A,Phosphoinositide Signalling
INPP4B,Phosphoinositide Signalling
INPP5A,Phosphoinositide Signalling
INPP5B,Phosphoinositide Signalling
INPP5D,Phosphoinositide Signalling
INPP5E,Phosphoinositide Signalling
INPPL1,Phosphoinositide Signalling
ITPKA,Phosphoinositide Signalling
ITPKB,Phosphoinositide Signalling
ITPKC,Phosphoinositide Signalling
MTMR3,Phosphoinositide Signalling
OCRL,Phosphoinositide Signalling
PIK3C2A,Phosphoinositide Signalling
PIK3C2B,Phosphoinositide Signalling
PIK3C2G,Phosphoinositide Signalling
PIK3C3,Phosphoinositide Signalling
PIK3CA,Phosphoinositide Signalling
PIK3CB,Phosphoinositide Signalling
PIK3CD,Phosphoinositide Signalling
PIK3CG,Phosphoinositide Signalling
PIK3R1,Phosphoinositide Signalling
PIK3R2,Phosphoinositide Signalling
PIK3R3,Phosphoinositide Signalling
PIK3R5,Phosphoinositide Signalling
PIP5K1A,Phosphoinositide Signalling
PIP5K1B,Phosphoinositide Signalling
PIP5K1C,Phosphoinositide Signalling
PLCB1,Phosphoinositide Signalling
PLCB2,Phosphoinositide Signalling
PLCB3,Phosphoinositide Signalling
PLCB4,Phosphoinositide Signalling
PLCD1,Phosphoinositide Signalling
PLCD3,Phosphoinositide Signalling
PLCD4,Phosphoinositide Signalling
PLCE1,Phosphoinositide Signalling
PLCG1,Phosphoinositide Signalling
PLCG2,Phosphoinositide Signalling
PLCH1,Phosphoinositide Signalling
PLCH2,Phosphoinositide Signalling
PLCL1,Phosphoinositide Signalling
PLCXD2,Phosphoinositide Signalling
PLCZ1,Phosphoinositide Signalling
PTEN,Phosphoinositide Signalling
SYNJ1,Phosphoinositide Signalling
SYNJ2,Phosphoinositide Signalling
ADC,Polyamines Metabolism
AGMAT,Polyamines Metabolism
AMD1,Polyamines Metabolism
MAOA,Polyamines Metabolism
MAOB,Polyamines Metabolism
ODC1,Polyamines Metabolism
SAT2,Polyamines Metabolism
SMS,Polyamines Metabolism
SMOX,Polyamines Metabolism
SRM,Polyamines Metabolism
SSAT2,Polyamines Metabolism
ALAD,Porphyrin and Heme Metabolism
ALAS1,Porphyrin and Heme Metabolism
ALAS2,Porphyrin and Heme Metabolism
BLVRA,Porphyrin and Heme Metabolism
BLVRB,Porphyrin and Heme Metabolism
CPOX,Porphyrin and Heme Metabolism
CYBRD1,Porphyrin and Heme Metabolism
FECH,Porphyrin and Heme Metabolism
FTH1,Porphyrin and Heme Metabolism
FTMT,Porphyrin and Heme Metabolism
HCCS,Porphyrin and Heme Metabolism
HMBS,Porphyrin and Heme Metabolism
HMOX1,Porphyrin and Heme Metabolism
HMOX2,Porphyrin and Heme Metabolism
PPOX,Porphyrin and Heme Metabolism
SLC46A1,Porphyrin and Heme Metabolism
SLCO1B1,Porphyrin and Heme Metabolism
SLCO1B3,Porphyrin and Heme Metabolism
UROD,Porphyrin and Heme Metabolism
UROS,Porphyrin and Heme Metabolism
HIBCH,Propanoate Metabolism
SLC16A1,Propanoate Metabolism
SLC16A3,Propanoate Metabolism
SLC16A7,Propanoate Metabolism
SLC16A8,Propanoate Metabolism
SLC5A12,Propanoate Metabolism
SLC5A8,Propanoate Metabolism
P4HA1,Protein Modification
P4HA2,Protein Modification
P4HB,Protein Modification
GGPS1,Protein Modification
HMGCR,Protein Modification
SLC25A1,Protein Modification
SLC33A1,Protein Modification
MTMR3,Protein Modification
PLOD1,Protein Modification
PLOD2,Protein Modification
PLOD3,Protein Modification
GCH1,Pterin Biosynthesis
PCBD1,Pterin Biosynthesis
PTS,Pterin Biosynthesis
QDPR,Pterin Biosynthesis
SPR,Pterin Biosynthesis
ADSL,Purine Biosynthesis
ATIC,Purine Biosynthesis
GART,Purine Biosynthesis
PAICS,Purine Biosynthesis
PFAS,Purine Biosynthesis
PPAT,Purine Biosynthesis
GMPS,Purine Biosynthesis
IMPDH1,Purine Biosynthesis
IMPDH2,Purine Biosynthesis
PRPS1,Purine Biosynthesis
PRPS1L1,Purine Biosynthesis
PRPS2,Purine Biosynthesis
ADK,Purine Metabolism
ADSS,Purine Metabolism
ADSSL1,Purine Metabolism
AK1,Purine Metabolism
AK2,Purine Metabolism
AK3,Purine Metabolism
AK3L1,Purine Metabolism
AK5,Purine Metabolism
AK7,Purine Metabolism
AMPD1,Purine Metabolism
AMPD2,Purine Metabolism
AMPD3,Purine Metabolism
GMPR,Purine Metabolism
GMPR2,Purine Metabolism
GUK1,Purine Metabolism
ITPA,Purine Metabolism
NT5C1B,Purine Metabolism
NT5C2,Purine Metabolism
NT5E,Purine Metabolism
SLC2A9,Purine Metabolism
ADA,Purine Metabolism
APRT,Purine Metabolism
GDA,Purine Metabolism
HPRT1,Purine Metabolism
SLC28A2,Purine Metabolism
SLC28A3,Purine Metabolism
SLC29A2,Purine Metabolism
XDH,Purine Metabolism
CPS1,Pyrimidine Biosynthesis
PRPS1,Pyrimidine Biosynthesis
PRPS1L1,Pyrimidine Biosynthesis
PRPS2,Pyrimidine Biosynthesis
CAD,Pyrimidine Biosynthesis
DHODH,Pyrimidine Biosynthesis
UMPS,Pyrimidine Biosynthesis
ALDH6A1,Pyrimidine Metabolism
DUT,Pyrimidine Metabolism
NT5C,Pyrimidine Metabolism
TK1,Pyrimidine Metabolism
TK2,Pyrimidine Metabolism
UCK1,Pyrimidine Metabolism
UCK2,Pyrimidine Metabolism
UPP2,Pyrimidine Metabolism
AICDA,Pyrimidine Metabolism
