Intra,CoRe,Core_Direction,RG1_All,R2_Significant,RG3_Change,RG3_ChangeNum
Not Detected,Not Significant,Released/Consumed,Intra Not Detected + CoRe Not Significant_Released/Consumed,None,None,8
Not Detected,Significant Negative,Released/Consumed,Intra Not Detected + CoRe Significant Negative_Released/Consumed,None,None,8
Not Detected,Significant Positive,Released/Consumed,Intra Not Detected + CoRe Significant Positive_Released/Consumed,None,None,8
Not Detected,UP,Released/Consumed,Intra Not Detected + CoRe UP_Released/Consumed,CoRe_UP (Released/Consumed),CoRe_UP (Released/Consumed),21
Significant Negative,DOWN,Released/Consumed,Intra Significant Negative + CoRe DOWN_Released/Consumed,Both_DOWN (Released/Consumed),CoRe_DOWN (Released/Consumed),20
Significant Negative,Not Detected,Not Detected,Intra Significant Negative + CoRe Not Detected,None,None,8
Significant Negative,Not Significant,Released/Consumed,Intra Significant Negative + CoRe Not Significant_Released/Consumed,None,None,8
Significant Negative,Significant Negative,Released/Consumed,Intra Significant Negative + CoRe Significant Negative_Released/Consumed,None,None,8
Significant Negative,Significant Positive,Released/Consumed,Intra Significant Negative + CoRe Significant Positive_Released/Consumed,None,None,8
Significant Negative,UP,Released/Consumed,Intra Significant Negative + CoRe UP_Released/Consumed,Opposite (Released/Consumed UP),CoRe_UP (Released/Consumed),21
Significant Positive,DOWN,Released/Consumed,Intra Significant Positive + CoRe DOWN_Released/Consumed,Opposite (Released/Consumed DOWN),CoRe_DOWN (Released/Consumed),20
Significant Positive,Not Detected,Not Detected,Intra Significant Positive + CoRe Not Detected,None,None,8
Significant Positive,Not Significant,Released/Consumed,Intra Significant Positive + CoRe Not Significant_Released/Consumed,None,None,8
Significant Positive,Significant Negative,Released/Consumed,Intra Significant Positive + CoRe Significant Negative_Released/Consumed,None,None,8
Significant Positive,Significant Positive,Released/Consumed,Intra Significant Positive + CoRe Significant Positive_Released/Consumed,None,None,8
Significant Positive,UP,Released/Consumed,Intra Significant Positive + CoRe UP_Released/Consumed,Both_UP (Released/Consumed),CoRe_UP (Released/Consumed),21
Not Significant,DOWN,Released/Consumed,Intra Not Significant + CoRe DOWN_Released/Consumed,CoRe_DOWN (Released/Consumed),CoRe_DOWN (Released/Consumed),20
Not Significant,Not Detected,Not Detected,Intra Not Significant + CoRe Not Detected,None,None,8
Not Significant,Not Significant,Released/Consumed,Intra Not Significant + CoRe Not Significant_Released/Consumed,None,None,8
Not Significant,Significant Negative,Released/Consumed,Intra Not Significant + CoRe Significant Negative_Released/Consumed,None,None,8
Not Significant,Significant Positive,Released/Consumed,Intra Not Significant + CoRe Significant Positive_Released/Consumed,None,None,8
Not Significant,UP,Released/Consumed,Intra Not Significant + CoRe UP_Released/Consumed,CoRe_UP (Released/Consumed),CoRe_UP (Released/Consumed),21
