"","Metabolite","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"51","2-eicosatrienoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35884","LC/MS Pos","5565","546.29999999999995",NA,NA,NA
"52","2-ethylhexanoate","149-57-5;","Xenobiotics","Chemical","1554","GC/MS","1210.5","201.2","8697",NA,NA
"53","2-hydroxyacetaminophen sulfate*",NA,"Xenobiotics","Drug","33173","LC/MS Neg","1703","246.1",NA,NA,NA
"54","2-hydroxybutyrate (AHB)","3347-90-8;","Amino acid","Cysteine, methionine, SAM, taurine metabolism","21044","GC/MS","1169.4000000000001","130.9","440864","C05984","HMDB00008"
"55","2-hydroxyglutarate","40951-21-1;","Lipid","Fatty acid, dicarboxylate","37253","GC/MS","1576","247","43","C02630","HMDB00606"
"56","2-hydroxyhippurate (salicylurate)","487-54-7;","Xenobiotics","Benzoate metabolism","18281","LC/MS Neg","2252","194.1","10253","C07588","HMDB00840"
"57","2-hydroxyisobutyrate","594-61-6;","Xenobiotics","Chemical","22030","GC/MS","1107.5","130.9","11671",NA,"HMDB00729"
"58","2-hydroxypalmitate","764-67-0;","Lipid","Fatty acid, monohydroxy","35675","LC/MS Neg","5508","271.3","92836",NA,NA
"59","2-isopropylmalate","3237-44-3;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15667","LC/MS Neg","732","175.2","5280523","C02504","HMDB00402"
"60","2-linoleoylglycerol (2-monolinolein)","3443-82-1;","Lipid","Monoacylglycerol","32536","GC/MS","2169","408.3","5365676",NA,"HMDB11538"
"61","2-linoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35257","LC/MS Pos","5544","520.4",NA,NA,NA
"62","2-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","36593","LC/MS Neg","5650","476.4",NA,NA,NA
"63","2-methoxyacetaminophen sulfate*",NA,"Xenobiotics","Drug","33178","LC/MS Neg","1977","260.10000000000002",NA,NA,NA
"64","2-methylbutyroylcarnitine","31023-25-3;","Amino acid","Valine, leucine and isoleucine metabolism","35431","LC/MS Pos","2439","246.1","6426901",NA,"HMDB00378"
"65","2-myristoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35681","LC/MS Pos","5450","468.3",NA,NA,NA
"66","2-oleoylglycerol (2-monoolein)","3443-84-3;","Lipid","Monoacylglycerol","35848","GC/MS","2170","410.1","5319879",NA,NA
"67","2-oleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35254","LC/MS Pos","5640","522.4",NA,NA,NA
"68","2-oleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35687","LC/MS Neg","5848","478.3",NA,NA,NA
"69","2-oleoylglycerophosphoserine*",NA,"Lipid","Lysolipid","37948","LC/MS Neg","5577","522.29999999999995",NA,NA,NA
"70","2-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35819","LC/MS Pos","5482","494.3",NA,NA,NA
"71","2-palmitoylglycerol (2-monopalmitin)","23470-00-0;","Lipid","Monoacylglycerol","33419","GC/MS","2108","129","123409",NA,NA
"72","2-palmitoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35253","LC/MS Pos","5604","496.3",NA,NA,NA
"73","2-palmitoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35688","LC/MS Neg","5790","452.3",NA,NA,NA
"74","2-phosphoglycerate","70195-25-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","35629","GC/MS","1734","459.1",NA,"C00631","HMDB03391"
"75","2-stearoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35255","LC/MS Pos","5780","524.4","10208382",NA,NA
"76","2-stearoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","41220","LC/MS Pos","5779.6","482.2",NA,NA,NA
"77","3'-dephosphocoenzyme A","3633-59-8;","Cofactors and vitamins","Pantothenate and CoA metabolism","18289","LC/MS Neg","2010","686.2","444485","C00882","HMDB01373"
"78","3,4-dihydroxyphenethyleneglycol","28822-73-3;","Amino acid","Phenylalanine & tyrosine metabolism","1555","GC/MS","1807.7","355.2","91528","C05576","HMDB00318"
"79","3-(4-hydroxyphenyl)lactate","6482-98-0;","Amino acid","Phenylalanine & tyrosine metabolism","32197","LC/MS Neg","1395","181.1","9378","C03672","HMDB00755"
"80","3-(N-acetyl-L-cystein-S-yl) acetaminophen*","52372-86-8;","Xenobiotics","Drug","18299","LC/MS Pos","2622","313.10000000000002","83967",NA,NA
"81","3-(cystein-S-yl)acetaminophen*",NA,"Xenobiotics","Drug","34365","LC/MS Pos","1960","271.2","5233914",NA,NA
"82","3-aminoisobutyrate","10569-72-9;214139-20-5;","Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/","1566","GC/MS","1252.2","101.9","64956","C05145","HMDB03911"
"83","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","86879-39-2;","Lipid","Fatty acid, dicarboxylate","31787","LC/MS Neg","2815","239.1","123979",NA,NA
"84","3-dehydrocarnitine*","10457-99-5;","Lipid","Carnitine metabolism","32654","LC/MS Pos","1020","160.19999999999999","6991982",NA,NA
"85","3-hydroxybutyrate (BHBA)","625-72-9;","Lipid","Ketone bodies","542","GC/MS","1203.5","116.9","441","C01089","HMDB00357"
"86","3-hydroxydecanoate","5561-87-5;","Lipid","Fatty acid, monohydroxy","22053","LC/MS Neg","4681","187.2","26612",NA,"HMDB02203"
"87","3-hydroxyhippurate",NA,"Xenobiotics","Benzoate metabolism","39600","LC/MS Neg","1670","194.1","450268",NA,"HMDB06116"
"88","3-hydroxyoctanoate","88930-08-9;","Lipid","Fatty acid, monohydroxy","22001","LC/MS Neg","3463","159.19999999999999","26613",NA,"HMDB01954"
"89","3-indoxyl sulfate","2642-37-7;","Amino acid","Tryptophan metabolism","27672","LC/MS Neg","2258","212","10258",NA,"HMDB00682"
"90","3-methyl-2-oxovalerate","51829-07-3;","Amino acid","Valine, leucine and isoleucine metabolism","15676","LC/MS Neg","2106","129.19999999999999","439286; 440877; 6857401","C00671","HMDB03736"
"91","3-methylhistidine","368-16-1;","Amino acid","Histidine metabolism","15677","LC/MS Neg","911","168.1","92105; 64969","C01152","HMDB00479"
"92","3-phosphoglycerate","80731-10-8;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","40264","GC/MS","1754","357.1",NA,"C00597","HMDB00807"
"93","3-ureidopropionate","462-88-4;","Amino acid","Alanine and aspartate metabolism","3155","LC/MS Pos","1062","133.1","111","C02642","HMDB00026"
"94","4-acetamidophenol","103-90-2;","Xenobiotics","Drug","12032","LC/MS Pos","2238","152.1","1983","C06804","HMDB01859"
"95","4-acetaminophen sulfate","10066-90-7;32113-41-0;","Xenobiotics","Drug","37475","LC/MS Neg","1779","230.1","83939","C06804","HMDB01859"
"96","4-androsten-3beta,17beta-diol disulfate 1*",NA,"Lipid","Sterol/Steroid","37202","LC/MS Neg","3735","224.3",NA,NA,"HMDB03818"
"97","4-guanidinobutanoate","463-003;463-00-3;","Amino acid","Guanidino and acetamido metabolism","15681","LC/MS Pos","1085","146.1","500","C01035","HMDB03464"
"98","4-hydroxybutyrate (GHB)","502-85-2;","Lipid","Fatty acid, monohydroxy","34585","GC/MS","1277","233.1","10413","C00989","HMDB00710"
"99","4-hydroxyglutamate","2485-33-8;","Amino acid","Glutamate metabolism","40499","GC/MS","1644.2","244.1","5460078; 5460800","C03079","HMDB01344"
"100","4-hydroxyhippurate","2482-25-9;","Xenobiotics","Benzoate metabolism","35527","LC/MS Neg","1439","194","151012",NA,NA
"101","4-hydroxyphenylacetate","156-38-7;","Amino acid","Phenylalanine & tyrosine metabolism","541","GC/MS","1630.6","179","127","C00642","HMDB00020"
"102","4-methyl-2-oxopentanoate","816-66-0;","Amino acid","Valine, leucine and isoleucine metabolism","22116","LC/MS Neg","2200","129.19999999999999","70","C00233","HMDB00695"
"103","5,6-dihydrouracil","504-07-4;","Nucleotide","Pyrimidine metabolism, uracil containing","1559","GC/MS","1505.2","243","649","C00429","HMDB00076"
"104","5-HETE","73307-52-5;","Lipid","Eicosanoid","37372","LC/MS Neg","5372","319.2","9862886",NA,NA
"105","5-aminovalerate","660-88-8;","Amino acid","Urea cycle; arginine-, proline-, metabolism","18319","LC/MS Pos","860","118.1","138","C00431","HMDB03355"
"106","5-methyltetrahydrofolate (5MeTHF)","68703-91-3;68792-52-9;","Cofactors and vitamins","Folate metabolism","18330","LC/MS Neg","1838","458.2","439234; 9825434; 135398561","C00440","HMDB01396"
"107","5-methylthioadenosine (MTA)","2457-80-9;","Amino acid","Polyamine metabolism","1419","LC/MS Pos","2427","298.10000000000002","439176","C00170","HMDB01173"
"108","5-methyluridine (ribothymidine)","1463-10-1;","Nucleotide","Pyrimidine metabolism, uracil containing","35136","LC/MS Neg","1774","257.10000000000002","445408",NA,"HMDB00884"
"109","5-oxoETE","106154-18-1;","Lipid","Eicosanoid","38400","LC/MS Neg","5373","317.3","1831","C14732","HMDB10217"
"110","5-oxoproline","98-79-3;","Amino acid","Glutathione metabolism","1494","LC/MS Neg","744","128.19999999999999","7405","C01879","HMDB00267"
"111","6'-sialyllactose","35890-39-2;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","39795","GC/MS","2071.5","285.10000000000002",NA,"G00265","HMDB06569"
"112","6-keto prostaglandin F1alpha","58961-34-8;58962-34-8;","Lipid","Eicosanoid","20476","LC/MS Neg","4180","369.3","5280888","C05961","HMDB02886"
"113","6-phosphogluconate","921-62-0;53411-70-4;","Carbohydrate","Nucleotide sugars, pentose metabolism","15442","LC/MS Neg","588","275.10000000000002","91493","C00345","HMDB01316"
"114","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","115538-85-7;","Lipid","Sterol/Steroid","36776","LC/MS Neg","5268","429.4","3081085","C17337","HMDB12458"
"115","7-alpha-hydroxycholesterol","566-27-8;","Lipid","Sterol/Steroid","35692","GC/MS","2300","456.2","107722","C03594","HMDB01496"
"116","7-beta-hydroxycholesterol","566-27-8;","Lipid","Sterol/Steroid","35092","GC/MS","2340","456.4","473141","C03594","HMDB06119"
"117","Ac-Ser-Asp-Lys-Pro-OH","127103-11-1;","Peptide","Polypeptide","40707","LC/MS Pos","1767","488.2","4409396",NA,NA
"118","C-glycosyltryptophan*",NA,"Amino acid","Tryptophan metabolism","32675","LC/MS Pos","1912","367.1",NA,NA,NA
"119","Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","36984","LC/MS Neg","572","339",NA,NA,NA
"120","Isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,"Carbohydrate","Nucleotide sugars, pentose metabolism","37288","GC/MS","1935","357.2",NA,NA,NA
"121","L-urobilin","34217-90-8;","Cofactors and vitamins","Hemoglobin and porphyrin metabolism","40173","LC/MS Pos","4091","595.4","440785; 6433298","C05793","HMDB04159"
"122","N-6-trimethyllysine","23284-33-5;","Amino acid","Lysine metabolism","1498","LC/MS Pos","650","189.2","159659","C03793","HMDB01325"
"123","N-acetyl-aspartyl-glutamate (NAAG)","3106-85-2;","Amino acid","Glutamate metabolism","35665","LC/MS Pos","1563","305","5255","C12270","HMDB01067"
"124","N-acetylalanine","97-69-8;","Amino acid","Alanine and aspartate metabolism","1585","LC/MS Neg","882","130.1","88064","C02847","HMDB00766"
"125","N-acetylarginine","155-84-0;","Amino acid","Urea cycle; arginine-, proline-, metabolism","33953","LC/MS Neg","1149","215.2","67427","C02562","HMDB04620"
"126","N-acetylasparagine","4033-40-3;","Amino acid","Alanine and aspartate metabolism","33942","LC/MS Pos","974","175.1","99715",NA,"HMDB06028"
"127","N-acetylaspartate (NAA)","997-55-7;997-55-7 ;","Amino acid","Alanine and aspartate metabolism","22185","LC/MS Pos","1222","176.1","65065","C01042","HMDB00812"
"128","N-acetylglucosamine","7512-17-6;","Carbohydrate","Aminosugars metabolism","15095","GC/MS","1903.3","245","24139","C00140","HMDB00215"
"129","N-acetylglucosamine 6-phosphate","102029-88-9;","Carbohydrate","Aminosugars metabolism","15107","LC/MS Neg","628","300.10000000000002","440996; 25243963","C00357","HMDB02817"
"130","N-acetylglutamine","2490-97-3;","Amino acid","Glutamate metabolism","33943","LC/MS Pos","1204","189.1","182230","C02716","HMDB06029"
"131","N-acetylglycine","543-24-8;","Amino acid","Glycine, serine and threonine metabolism","27710","GC/MS","1396.4","143.9","10972",NA,"HMDB00532"
"132","N-acetylisoleucine",NA,"Amino acid","Valine, leucine and isoleucine metabolism","33967","LC/MS Pos","3370","174.1","7036275",NA,NA
"133","N-acetylleucine","1188-21-2;","Amino acid","Valine, leucine and isoleucine metabolism","1587","LC/MS Pos","3444","174.1","70912","C02710","HMDB11756"
"134","N-acetylmethionine","65-82-7;","Amino acid","Cysteine, methionine, SAM, taurine metabolism","1589","LC/MS Pos","2588","192.1","448580","C02712","HMDB11745"
"135","N-acetylneuraminate","131-48-6;","Carbohydrate","Aminosugars metabolism","32377","LC/MS Neg","695","308.10000000000002",NA,"C00270","HMDB00230"
"136","N-acetylornithine","6205-08-9;","Amino acid","Urea cycle; arginine-, proline-, metabolism","15630","LC/MS Pos","875","175.2","439232","C00437","HMDB03357"
"137","N-acetylphenylalanine","2018-61-3;","Amino acid","Phenylalanine & tyrosine metabolism","33950","LC/MS Neg","2590","206.2","74839","C03519","HMDB00512"
"138","N-acetylserine","97-14-3;","Amino acid","Glycine, serine and threonine metabolism","37076","GC/MS","1526","218","65249",NA,"HMDB02931"
"139","N-acetylthreonine",NA,"Amino acid","Glycine, serine and threonine metabolism","33939","LC/MS Neg","846","160.1","152204","C01118",NA
"140","N-acetyltryptophan","1218-34-4;","Amino acid","Tryptophan metabolism","33959","LC/MS Neg","2650","245.2","700653","C03137",NA
"141","N-acetyltyrosine","537-55-3 ;","Amino acid","Phenylalanine & tyrosine metabolism","32390","LC/MS Neg","1677","222.2","68310",NA,"HMDB00866"
"142","N-acetylvaline","96-81-1;","Amino acid","Valine, leucine and isoleucine metabolism","1591","LC/MS Pos","2654","160.1","66789",NA,"HMDB11757"
"143","N-methylglutamate","35989-16-3;","Amino acid","Glutamate metabolism","31532","GC/MS","1665","260.2","439377","C01046",NA
"144","N1-Methyl-2-pyridone-5-carboxamide","701-44-0;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","40469","LC/MS Pos","1707.3","153.19999999999999","69698","C05842","HMDB04193"
"145","N1-methyladenosine","15763-06-1;","Nucleotide","Purine metabolism, adenine containing","15650","LC/MS Pos","1356","282.10000000000002","27476","C02494","HMDB03331"
"146","N1-methylguanosine","2140-65-0;","Nucleotide","Purine metabolism, guanine containing","31609","LC/MS Pos","1850","298.10000000000002","96373",NA,"HMDB01563"
"147","N2,N2-dimethylguanosine","2140-67-2;","Nucleotide","Purine metabolism, guanine containing","35137","LC/MS Pos","2157","312.10000000000002","92919",NA,"HMDB04824"
"148","N2-acetyllysine","1946-82-3;","Amino acid","Lysine metabolism","36751","LC/MS Pos","853","189.1","92907","C12989","HMDB00446"
"149","N2-methylguanosine","2140-77-4;","Nucleotide","Purine metabolism, guanine containing","35133","LC/MS Pos","1950","298.10000000000002","3035422",NA,"HMDB05862"
"150","N6-acetyllysine","692-04-6;","Amino acid","Lysine metabolism","36752","LC/MS Pos","1134","189.1","92832","C02727","HMDB00206"
"151","N6-carbamoylthreonyladenosine","24719-82-2;","Nucleotide","Purine metabolism, guanine containing","35157","LC/MS Pos","2656","413",NA,NA,NA
"152","S-adenosylhomocysteine (SAH)","979-92-0;","Amino acid","Cysteine, methionine, SAM, taurine metabolism","15948","LC/MS Neg","1821","383.1",NA,"C00021","HMDB00939"
"153","S-adenosylmethionine (SAM)","24346-00-7;","Amino acid","Cysteine, methionine, SAM, taurine metabolism","15915","LC/MS Pos","676","399.1",NA,NA,NA
"154","S-methylcysteine","1187-84-4;","Amino acid","Cysteine, methionine, SAM, taurine metabolism","40262","GC/MS","1447.8","162.1","24417",NA,"HMDB02108"
"155","VGAHAGEYGAEALER*",NA,"Peptide","Polypeptide","35211","LC/MS Pos","2542","765.8",NA,NA,NA
"156","X - 01497",NA,NA,NA,"33028","LC/MS Pos","5115","332.2",NA,NA,NA
"157","X - 02249",NA,NA,NA,"32587","LC/MS Neg","4025","267.2",NA,NA,NA
"158","X - 02269",NA,NA,NA,"32549","LC/MS Neg","1551","255.1",NA,NA,NA
"159","X - 03056",NA,NA,NA,"32709","LC/MS Pos","2264","185.2",NA,NA,NA
"160","X - 10445",NA,NA,NA,"32894","LC/MS Pos","1939","250.1",NA,NA,NA
"161","X - 11204",NA,NA,NA,"32518","LC/MS Pos","5263","229.2",NA,NA,NA
"162","X - 11261",NA,NA,NA,"32578","LC/MS Pos","3600","286.2",NA,NA,NA
"163","X - 11299",NA,NA,NA,"32616","LC/MS Neg","4893","507.2",NA,NA,NA
"164","X - 11315",NA,NA,NA,"32632","LC/MS Pos","1210","130.19999999999999",NA,NA,NA
"165","X - 11332",NA,NA,NA,"32649","LC/MS Pos","935","212.1",NA,NA,NA
"166","X - 11333",NA,NA,NA,"32650","LC/MS Pos","1019","212.1",NA,NA,NA
"167","X - 11334",NA,NA,NA,"32651","LC/MS Pos","982","259.10000000000002",NA,NA,NA
"168","X - 11372",NA,NA,NA,"32689","LC/MS Neg","5303","467.4",NA,NA,NA
"169","X - 11381",NA,NA,NA,"32698","LC/MS Pos","1126","186.2",NA,NA,NA
"170","X - 11423",NA,NA,NA,"32740","LC/MS Neg","1038","260.10000000000002",NA,NA,NA
"171","X - 11437",NA,NA,NA,"32754","LC/MS Neg","2888","231",NA,NA,NA
"172","X - 11440",NA,NA,NA,"32757","LC/MS Neg","3571","246.3",NA,NA,NA
"173","X - 11444",NA,NA,NA,"32761","LC/MS Neg","3983","541.20000000000005",NA,NA,NA
"174","X - 11452",NA,NA,NA,"32769","LC/MS Neg","4109","352.1",NA,NA,NA
"175","X - 11469",NA,NA,NA,"32786","LC/MS Pos","3874","239.1",NA,NA,NA
"176","X - 11511",NA,NA,NA,"32828","LC/MS Neg","4119","215.2",NA,NA,NA
"177","X - 11521",NA,NA,NA,"32838","LC/MS Pos","3650","286.2",NA,NA,NA
"178","X - 11533",NA,NA,NA,"32850","LC/MS Neg","4904","243.2",NA,NA,NA
"179","X - 11537",NA,NA,NA,"32854","LC/MS Pos","5200","366.3",NA,NA,NA
"180","X - 11538",NA,NA,NA,"32855","LC/MS Neg","4920","311.3",NA,NA,NA
"181","X - 11542",NA,NA,NA,"32859","LC/MS Pos","5247","245.2",NA,NA,NA
"182","X - 11550",NA,NA,NA,"32867","LC/MS Neg","5130","250.2",NA,NA,NA
"183","X - 11561",NA,NA,NA,"32878","LC/MS Neg","1252","267.10000000000002",NA,NA,NA
"184","X - 11564",NA,NA,NA,"32881","LC/MS Neg","1188","177.1",NA,NA,NA
"185","X - 11575",NA,NA,NA,"32892","LC/MS Pos","1799","264.10000000000002",NA,NA,NA
"186","X - 11578",NA,NA,NA,"32895","LC/MS Pos","2146","298.10000000000002",NA,NA,NA
"187","X - 11583",NA,NA,NA,"32900","LC/MS Pos","2793","457.1",NA,NA,NA
"188","X - 11585",NA,NA,NA,"32902","LC/MS Pos","2987","332",NA,NA,NA
"189","X - 11611",NA,NA,NA,"32928","LC/MS Neg","1632","429.1",NA,NA,NA
"190","X - 11612",NA,NA,NA,"32974","LC/MS Pos","1835","285",NA,NA,NA
"191","X - 11613",NA,NA,NA,"32930","LC/MS Neg","1658","369.1",NA,NA,NA
"192","X - 11615",NA,NA,NA,"32932","LC/MS Neg","1604","228.2",NA,NA,NA
"193","X - 11639",NA,NA,NA,"32956","LC/MS Neg","3688","432.2",NA,NA,NA
"194","X - 11641",NA,NA,NA,"32958","LC/MS Neg","3950","325.3",NA,NA,NA
"195","X - 11662",NA,NA,NA,"33269","LC/MS Pos","3172","251.1",NA,NA,NA
"196","X - 11668",NA,NA,NA,"32996","LC/MS Neg","1367","215.2",NA,NA,NA
"197","X - 11684",NA,NA,NA,"33026","LC/MS Pos","2992","328",NA,NA,NA
"198","X - 11687",NA,NA,NA,"33031","LC/MS Pos","2182","384.1",NA,NA,NA
